entri,entri_id,pola,basis_kandidat,basis_id,basis_jenis,sufiks,indeks_basis,makna_snippet
"cele",6437,"-el-","ce",6300,"dasar","","ce","cela"
"cerabut",6697,"-er-","cabut",5921,"dasar","","cabut","lepas; cabut"
"cere",6737,"-er-","ce",6300,"dasar","","ce","cecere"
"ceri",6748,"-er-","ci",6818,"dasar","","ci","pohon yang cepat berkembang, bunganya putih kecil-kecil, daunnya berbulu, buahnya bulat kecil seperti anggur, kalau suda"
"dedal",7657,"R.purwa","dal",7376,"dasar","","dal","sarung (selubung) jari dari logam; bidal"
"dedap",7660,"R.purwa","dap",7493,"dasar","","dap","dadap (1)"
"dedulang",7681,"R.purwa","dulang",8936,"dasar","","dulang","pohon merunggai; petai laut; dulang-dulang"
"delik (3)",7841,"-el-","dik",8393,"dasar","","dik","perbuatan yang dapat dikenakan hukuman karena merupakan pelanggaran terhadap undang-undang; tindak pidana"
"demi (5)",7888,"-em-","di",8276,"dasar","","di","sebagai; seperti (untuk membandingkan)"
"dine",8462,"-in-","de",7599,"dasar","","de","satuan gaya dalam sistem cgs; gaya yang diperlukan untuk mempercepat benda dengan massa 1 gram sebanyak 1 cm/detik"
"gegala",11392,"R.purwa","gala",10932,"dasar","","gala","gala; gala-gala | residu berat yang hampir-ham-pir padat, yang tersisa setelah penyulingan ter arang batu atau terpentin"
"gegap",11396,"R.purwa","gap",11166,"dasar","","gap","gagap"
"gegetar",11408,"R.purwa","getar",12182,"dasar","","getar","perhiasan sanggul (dari emas atau perak) berben-tuk bunga sunting yang mudah bergetar"
"gegua",11411,"R.purwa","gua",12614,"dasar","","gua","gua"
"gelantung",11467,"-el-","gantung",11157,"dasar","","gantung","gantung"
"geli",11556,"-el-","gi",12205,"dasar","","gi","perasaan seperti ketika dikitik-kitik (digelitik) | hendak tertawa karena lucu dsb. | merasa dan terasa adanya kelucuan "
"gelosok",11632,"-el-","gosok",12524,"dasar","","gosok","gosok"
"gemaung",11668,"-em-","gaung",11281,"dasar","","gaung","berkumandang; bergaung"
"gemebyar",11702,"-em-","gebyar",11348,"dasar","","gebyar","serba gebyar; gemerlap"
"gemelugut",11708,"-em-","gelugut",11640,"dasar","","gelugut","menggigil keras; menggelugut"
"gemetar",11728,"-em-","getar",12182,"dasar","","getar","bergetar anggota badan karena ketakutan (kedinginan dsb.); menggigil karena ketakutan dsb."
"gemirang",11740,"-em-","girang",12285,"dasar","","girang","suka ria; girang"
"gemulung",11758,"-em-","gulung",12692,"dasar","","gulung","bergulung-gulung (tentang ombak dsb.)"
"gemuruh",11760,"-em-","guruh",12781,"dasar","","guruh","menderu-deru seperti bunyi guruh atau suara ombak besar mengalun menepis pantai"
"gerapai",11957,"-er-","gapai",11169,"dasar","","gapai","gapai"
"gerigi",12043,"-er-","gigi",12226,"dasar","","gigi","gigi-gigi tajam pada tepi (gergaji, piringan sepeda)"
"gerinjal",12062,"-er-","ginjal",12272,"dasar","","ginjal","ginjal"
"geronggang (2)",12109,"-er-","gonggang",12474,"dasar","","gonggang","pohon, tinggi hingga 30 m, berbatang lu-rus, kayunya baik untuk dibuat papan, kasau, pintu, dsb.; gonggang"
"gerunyam",12154,"-er-","gunyam",12751,"dasar","","gunyam","gunyam"
